le,le disc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
23,15.42111529,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,15.84637625,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,16.25675308,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16.65276673,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,17.03491989,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,17.40369769,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,17.75956828,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,18.10298339,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,18.43437897,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,18.7541757,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,19.06277955,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,19.36058227,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,19.64796189,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,19.92528322,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,20.19289831,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20.45114687,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20.70035673,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20.94084424,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,21.1729147,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0.232070451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,21.39686268,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0.232070451,0.223947986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,21.61297249,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0.232070451,0.223947986,0.216109806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,21.82151845,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0.232070451,0.223947986,0.216109806,0.208545963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,22.0227653,0.965,0.931225,0.898632125,0.867180001,0.836828701,0.807539696,0.779275807,0.752001153,0.725681113,0.700282274,0.675772395,0.652120361,0.629296148,0.607270783,0.586016306,0.565505735,0.545713034,0.526613078,0.50818162,0.490395263,0.473231429,0.456668329,0.440684938,0.425260965,0.410376831,0.396013642,0.382153165,0.368777804,0.355870581,0.34341511,0.331395581,0.319796736,0.30860385,0.297802716,0.287379621,0.277321334,0.267615087,0.258248559,0.24920986,0.240487514,0.232070451,0.223947986,0.216109806,0.208545963,0.201246854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
